area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,school_rating,neighborhood,garage_spaces,price
1969.0,4,3,47,15.8,6.2,Suburban,2,704877.0
1590.0,3,3,40,7.2,6.1,Suburban,2,711719.0
1645.0,2,3,35,10.2,4.6,Suburban,1,615008.0
2004.0,4,3,26,16.6,7.6,Urban,1,824218.0
3160.0,5,3,63,8.2,7.7,Suburban,0,996202.0
2245.0,4,3,26,5.3,8.4,Suburban,0,873207.0
2129.0,4,3,72,14.6,8.0,Rural,2,637818.0
2264.0,4,3,59,17.8,7.6,Rural,1,721316.0
500.0,1,1,79,9.7,7.9,Urban,2,269563.0
1992.0,4,3,51,4.1,8.0,Urban,2,890420.0
2346.0,2,3,47,4.9,8.4,Suburban,0,814645.0
1851.0,3,3,26,17.7,4.7,Suburban,2,691567.0
1774.0,3,3,54,10.9,6.3,Suburban,0,636305.0
1236.0,2,3,46,5.6,,Suburban,0,571332.0
1540.0,2,2,31,1.5,7.5,Urban,1,609574.0
1300.0,3,3,5,11.0,9.4,Rural,1,601356.0
2400.0,4,3,0,9.8,8.3,Urban,2,938211.0
2701.0,4,4,18,10.9,6.1,Rural,1,816624.0
2961.0,5,4,56,3.6,7.8,Suburban,0,972959.0
1290.0,3,3,73,5.3,7.5,Rural,0,534895.0
1399.0,3,3,74,13.4,7.3,Urban,2,583489.0
1350.0,1,1,42,0.6,5.0,Suburban,1,490654.0
1189.0,1,1,68,5.3,9.0,Urban,0,520370.0
1199.0,2,2,0,1.9,5.2,Suburban,0,556876.0
1491.0,3,3,70,3.3,6.4,Rural,2,588506.0
2325.0,3,3,77,12.1,8.4,Suburban,2,795232.0
1369.0,3,3,32,6.1,6.4,Suburban,2,645555.0
2432.0,4,4,3,2.8,7.1,Urban,2,1003977.0
2620.0,4,3,57,9.2,7.2,Rural,0,860303.0
1971.0,2,2,1,4.3,7.1,Urban,0,734769.0
2537.0,5,4,51,5.9,7.2,Suburban,1,920454.0
983.0,1,1,25,7.6,7.3,Urban,1,531605.0
1465.0,2,2,43,15.3,7.1,Suburban,0,509288.0
1914.0,3,2,73,7.6,5.7,Urban,2,662706.0
1934.0,4,3,12,5.0,4.7,Urban,1,905252.0
2658.0,4,4,2,8.9,8.5,Urban,2,1135251.0
1201.0,1,1,46,9.3,,Suburban,1,479621.0
1478.0,2,2,55,,7.5,Urban,2,587409.0
1749.0,4,3,23,6.1,7.5,Rural,2,621631.0
1489.0,2,2,13,6.5,5.6,Suburban,1,633731.0
1174.0,2,2,56,13.7,3.3,Rural,1,406493.0
1514.0,3,2,55,0.7,6.6,Urban,2,680593.0
1653.0,1,2,75,8.6,4.2,Suburban,1,420003.0
2669.0,5,4,69,11.5,7.3,Suburban,2,927402.0
1188.0,1,1,58,13.4,9.0,Rural,0,355056.0
2289.0,3,2,1,1.8,6.1,Urban,0,885432.0
2563.0,5,4,20,1.7,6.2,,0,1091132.0
1492.0,3,3,52,4.2,5.5,,1,672689.0
1956.0,3,3,37,10.4,7.1,Suburban,1,749826.0
2146.0,4,3,4,12.4,7.0,Rural,2,794648.0
2047.0,4,3,45,1.5,5.5,Urban,2,843781.0
1849.0,4,3,60,7.7,8.4,Suburban,0,665347.0
1393.0,3,3,58,12.0,10.0,Urban,2,680044.0
2197.0,3,3,73,4.9,8.8,Urban,0,793513.0
1575.0,2,1,11,8.2,6.8,Rural,1,528200.0
1817.0,3,3,76,2.4,6.8,Suburban,2,719920.0
1905.0,3,3,42,9.7,6.2,Rural,2,566352.0
2314.0,4,3,24,5.8,6.2,Urban,2,885962.0
2957.0,4,3,68,5.4,,Suburban,0,985935.0
1357.0,2,2,8,7.9,8.5,Suburban,0,654569.0
1832.0,2,2,2,1.3,5.2,Suburban,2,755859.0
909.0,1,1,58,4.3,7.5,Urban,0,387265.0
2689.0,4,4,58,12.0,8.7,Urban,0,946683.0
1826.0,3,2,7,1.5,6.5,Urban,1,798097.0
1620.0,3,2,70,1.7,6.7,Suburban,0,657661.0
1831.0,3,2,67,4.7,8.0,Suburban,1,707072.0
1862.0,4,3,63,6.5,8.1,Suburban,2,773542.0
1361.0,2,2,31,7.6,7.6,Urban,1,613894.0
2513.0,4,3,74,19.5,7.4,Suburban,1,731153.0
2187.0,3,2,10,7.8,7.6,Urban,2,806432.0
2271.0,4,2,62,8.5,6.6,Rural,2,711987.0
1392.0,1,1,67,13.4,5.3,Urban,0,471435.0
1360.0,1,1,41,3.4,4.7,Suburban,2,479537.0
1732.0,3,2,27,8.7,7.9,Urban,0,729517.0
2280.0,3,3,38,10.3,7.2,Urban,0,787652.0
2101.0,3,3,3,9.4,7.7,Suburban,1,794463.0
1333.0,2,2,2,7.6,5.8,Suburban,0,625045.0
2201.0,3,3,27,7.3,7.2,Urban,0,869904.0
1217.0,3,3,1,2.8,7.1,Suburban,1,626819.0
